timestamp,time,temperature,irradiance,voltage,current,power,temperature smoothed,irradiance smoothed,voltage smoothed,current smoothed,power smoothed,IAM factor,pvwatts power,computed power
1668438003.0,2022-11-14 07:00:02,-0.81,6.88,2.91,0.01,0.04,-0.81,7.09,2.88,0.01,0.04,0.18214571213878158,0.04,0.04
1668438062.0,2022-11-14 07:01:02,-0.81,7.5,2.88,0.01,0.04,-0.81,7.19,2.9,0.01,0.04,0.19611127762892602,0.04,0.04
1668438123.0,2022-11-14 07:02:02,-0.81,6.88,2.86,0.01,0.04,-0.81,7.38,2.92,0.01,0.04,0.2098714472335846,0.05,0.04
1668438183.0,2022-11-14 07:03:03,-0.81,7.5,2.96,0.01,0.04,-0.81,7.63,2.95,0.01,0.04,0.22364643393056197,0.05,0.05
1668438243.0,2022-11-14 07:04:02,-0.81,8.13,3.01,0.02,0.05,-0.8,8.0,2.99,0.02,0.05,0.23676116830352725,0.06,0.05
1668438303.0,2022-11-14 07:05:03,-0.81,8.13,3.02,0.02,0.05,-0.79,9.63,3.76,0.02,0.07,0.25010275086446443,0.08,0.07
1668438362.0,2022-11-14 07:06:02,-0.75,9.38,3.12,0.02,0.05,-0.76,14.75,6.28,0.02,0.18,0.2627951447344157,0.12,0.11
1668438423.0,2022-11-14 07:07:02,-0.75,15.0,6.7,0.03,0.17,-0.72,23.63,8.47,0.03,0.29,0.2754885881391969,0.21,0.19
1668438483.0,2022-11-14 07:08:02,-0.69,33.13,15.55,0.03,0.56,-0.67,34.5,10.35,0.03,0.42,0.28796623982995906,0.32,0.28
1668438543.0,2022-11-14 07:09:03,-0.62,52.5,13.97,0.04,0.6200000000000001,-0.61,45.75,12.54,0.04,0.57,0.3004312602268065,0.44,0.39
1668438603.0,2022-11-14 07:10:02,-0.56,62.5,12.39,0.05,0.68,-0.54,56.63,14.47,0.04,0.66,0.31227703993729944,0.56,0.51
1668438663.0,2022-11-14 07:11:03,-0.44,65.63,14.08,0.06,0.82,-0.45,64.75,14.71,0.05,0.7,0.3243081591980667,0.67,0.6
1668438723.0,2022-11-14 07:12:02,-0.38,69.38,16.365,0.04,0.635,-0.35,70.38,14.88,0.05,0.77,0.3357374358443594,0.75,0.68
1668438783.0,2022-11-14 07:13:03,-0.25,73.75,16.73,0.045000000000000005,0.725,-0.24,77.5,15.48,0.06,0.87,0.3473418437258716,0.85,0.77
1668438843.0,2022-11-14 07:14:02,-0.12,80.63,14.82,0.07,1.01,-0.13,88.25,15.35,0.06,0.93,0.3583626697683441,1.0,0.9
1668438903.0,2022-11-14 07:15:03,0.0,98.13,15.43,0.08,1.17,0.0,99.0,15.25,0.07,1.08,0.36954963698291626,1.16,1.04
1668438963.0,2022-11-14 07:16:02,0.12,119.38,13.4,0.08,1.11,0.13,108.0,14.87,0.08,1.19,0.38017176990328555,1.3,1.17
1668439022.0,2022-11-14 07:17:02,0.25,123.13,15.87,0.09,1.36,0.25,114.25,15.17,0.08,1.26,0.3907769684323258,1.42,1.27
1668439083.0,2022-11-14 07:18:02,0.38,118.75,14.82,0.09,1.3,0.37,117.25,15.65,0.08,1.32,0.40118641493294804,1.49,1.34
1668439142.0,2022-11-14 07:19:02,0.5,111.88,16.32,0.08499999999999999,1.37,0.51,118.13,16.36,0.09,1.41,0.41140308153549454,1.54,1.39
1668439203.0,2022-11-14 07:20:02,0.62,113.13,17.82,0.08,1.44,0.66,123.13,16.64,0.09,1.47,0.4214300047009818,1.64,1.48
1668439262.0,2022-11-14 07:21:02,0.81,123.75,16.98,0.09,1.6,0.81,135.0,16.78,0.09,1.53,0.4312702682866866,1.84,1.66
1668439323.0,2022-11-14 07:22:02,1.0,148.13,17.26,0.09,1.64,0.97,148.25,16.24,0.09,1.55,0.440926988909425,2.07,1.86
1668439382.0,2022-11-14 07:23:02,1.12,178.13,15.54,0.1,1.6,1.14,154.88,16.52,0.09,1.55,0.450403303289821,2.21,1.99
1668439443.0,2022-11-14 07:24:02,1.31,178.13,13.59,0.11,1.49,1.3,156.75,15.65,0.1,1.54,0.4597023574200093,2.28,2.05
1668439502.0,2022-11-14 07:25:02,1.44,146.25,19.21,0.07,1.42,1.46,161.5,14.79,0.11,1.56,0.4688272970732125,2.39,2.16
1668439563.0,2022-11-14 07:26:02,1.62,133.13,12.67,0.12,1.54,1.65,166.13,14.31,0.12,1.65,0.4777812657664331,2.51,2.26
1668439622.0,2022-11-14 07:27:02,1.81,171.88,12.95,0.14,1.77,1.85,166.13,14.25,0.13,1.81,0.48656737393382227,2.55,2.3
1668439683.0,2022-11-14 07:28:02,2.06,201.26,13.13,0.16,2.05,2.06,174.76,13.24,0.15,2.04,0.4951887290387588,2.73,2.46
1668439742.0,2022-11-14 07:29:02,2.31,178.13,13.27,0.17,2.26,2.27,193.13,14.24,0.17,2.37,0.5036484064898799,3.07,2.76
1668439803.0,2022-11-14 07:30:02,2.5,189.38,14.16,0.18,2.59,2.5,204.76,15.15,0.18,2.67,0.5119494513546239,3.31,2.98
1668439862.0,2022-11-14 07:31:02,2.69,225.01,17.7,0.18,3.16,2.73,211.26,15.53,0.19,2.9,0.5200948748429065,3.47,3.12
1668439923.0,2022-11-14 07:32:02,2.94,230.01,17.49,0.19,3.31,2.95,221.26,15.45,0.2,3.01,0.5280876512893765,3.68,3.31
1668439982.0,2022-11-14 07:33:02,3.19,233.76,15.04,0.21,3.19,3.19,230.88,16.27,0.19,3.11,0.5359307156511671,3.9,3.51
1668440043.0,2022-11-14 07:34:02,3.44,228.13,12.88,0.22,2.79,3.44,235.51,15.83,0.19,2.93,0.543626961518066,4.03,3.63
